"holder","holder_class","segment","licenses","mining_lics","hectares","main_commodities","lics_in_default_2025","lics_cancelled_2024"
"SKY AKM Trading Limited","organization","critical_battery","2","0","5512","Platinum/Lead/Zinc","2","0"
"Athena Investments Limited","organization","gold","2","0","1069","Iron Ore/Silver/Gold","2","2"
"Xanadu Commodities Limited","organization","critical_battery","2","0","4798","Nickel/Manganese/Gold","0","0"
"Wila Mining Solutions Limited","organization","critical_battery","2","0","602","Zinc/Gold/Copper","0","0"
"Myala City Company Limited","organization","base_metals","2","0","170","Granite/Copper","1","1"
"Athena Energy Limited","organization","critical_battery","2","0","10475","Lead/Manganese/Zinc","0","0"
"Wilna Enterprises Limited","organization","critical_battery","2","0","1005","Iron Ore/Manganese/Quartz","2","0"
"Hot-Spring Oils Company Limited","organization","critical_battery","2","0","8225","Lead/Manganese/Zinc","1","0"
"Myanango Enterprises Company Limited","organization","industrial_minerals","2","0","8089","Silica/Granite","2","0"
"SIRMUSA MINERALS LIMITED","organization","gemstones","2","0","67","Manganese/Silver/Zinc","0","0"
"Earthshine Mining Corporation Limited","organization","critical_battery","2","0","9749","Copper/Gold/Niobium (Columbium)","0","0"
"Pamodzi Investments Limited","organization","gemstones","2","0","1082","Copper/Gold/Silver","0","0"
"Luban Engineering Zambia Limited","organization","gemstones","2","0","1237","Iron Ore/Nickel/Gold","0","0"
"Sinseong Development Company Limited","organization","gemstones","2","0","11053","Gold/Copper/Cobalt","0","1"
"Meadow Processing Technologies Limited","organization","gemstones","2","0","277","Quartz/Rare EarthsElements/Manganese","0","0"
"MERACLUS INVESTMENTS LIMITED","organization","gemstones","2","0","1997","Copper/Gold/Nickel","0","0"
"Weleyange Investment Limited","organization","gemstones","2","0","322","Sand and Gravel/Feldspar/Beryllium","0","0"
"Orbit Drilling and Exploration Limited","organization","critical_battery","2","0","183","Lead/Manganese/Zinc","2","2"
"Xingstone Resources Limited","organization","gemstones","2","0","977","Quartz/Tourmaline/Zinc","2","2"
"Longvee Mining Limited","organization","critical_battery","2","0","1970","Copper/Cobalt/Gold","0","0"
"Negro F-Solutions Limited","organization","critical_battery","1","0","952","Manganese/Lead/Zinc","1","0"
"New Generation Invesment Limited","organization","gemstones","1","0","642","Rare EarthsElements/Niobium (Columbium)/Nickel","0","0"
"Pinak Resources Zambia Limited","organization","critical_battery","1","0","28644","Lead/Manganese/Iron Ore","0","0"
"NELEMU MULTI-PURPOSE  CO-OPERATIVE LIMITED","organization","gemstones","1","1","7","Lead/Iron Ore/Anhydrite","0","0"
"NATRAJ MINING AND MINERALS LIMITED","organization","critical_battery","1","0","9524","Limestone (General)/Manganese/Iron Ore","0","0"
"New Generation Multi-purpose Co-operative Society Limited","organization","gemstones","1","1","7","Emerald/Copper/Cobalt","0","0"
"NAVEX MINING AND CONTRACTORS LIMITED","organization","critical_battery","1","0","3530","Nickel/Malachite/Zinc","0","0"
"Natural Precious Resources Company Limited","organization","critical_battery","1","0","8231","Nickel/Molybdenum/Silver","0","0"
"Nasteho Investment Limited","organization","gold","1","1","10","Gold/Copper","0","0"
"Nelna Suppliers and General Works Limited","organization","critical_battery","1","0","8220","Quartz/Nickel/Manganese","0","0"
"NEWCORE MINING ZAMBIA LIMITED","organization","gemstones","1","0","20028","Malachite/Manganese/Lead","0","0"
"Navratan Enterprise Limited","organization","critical_battery","1","0","46605","Nickel/Manganese/Silver","0","0"
"Naoje Boarder World Zambia Limited","organization","critical_battery","1","0","749","Quartz/Rare EarthsElements/Nickel","1","0"
"New Power Industries Limited","organization","gemstones","1","0","4490","Manganese/Limestone (General)/Lead","1","0"
"New Norodom Mines Limited","organization","gemstones","1","1","13","Emerald/Beryllium","1","1"
"Ndodzomuyaco Mining Limited","organization","gemstones","1","1","144","Emerald/Beryllium","1","1"
